Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,3.35E-05,33036.8416,59003.3233,799.288092,0.964981079,0.973750723,1.11237212,3.26E-05,3.72E-05,32164.6622,36768.9123
1,3.50E-05,32682.1874,59128.9094,780.022737,0.965847015,0.974260373,1.10881749,3.41E-05,3.88E-05,31836.7048,36259.3657
1,3.32E-05,34400.03012,48919.80135,591.8736544,0.810264587,0.968035828,16.67958302,3.22E-05,0.00032107,33168.55489,890746.5966
1,3.47E-05,38144.39267,46911.38066,512.118245,0.777057648,0.967630365,22.40312237,3.38E-05,0.000427038,36703.45691,1208694.699
1,3.37E-05,35120.4799,59527.9836,672.70594,0.967517853,0.976113153,1.1085669,3.29E-05,3.70E-05,34252.4367,39205.9811
1,3.26E-05,34003.583,59346.6522,796.438696,0.966972351,0.97519642,1.10538966,3.18E-05,3.59E-05,33150.4668,37631.4886
1,3.27E-05,34044.8685,59187.0304,853.38421,0.966079712,0.974509646,1.10837249,3.19E-05,3.62E-05,33166.7316,37782.0411
1,4.08E-05,30773.8244,59118.0936,622.226261,0.963638306,0.974872299,1.1420845,3.99E-05,4.54E-05,29911.2568,36400.1957
1,3.62E-05,31671.6774,58962.2742,813.70219,0.964797974,0.973577457,1.1129276,3.52E-05,4.02E-05,30838.2787,35239.6998
1,3.43E-05,32103.4479,59005.2414,847.089009,0.965106964,0.973737946,1.11152955,3.34E-05,3.81E-05,31259.7168,35683.6124
1,3.47E-05,33564.8484,59408.1373,731.275866,0.965579987,0.976046573,1.1393734,3.39E-05,3.86E-05,32720.6529,39214.6637
1,4.07E-05,33225.90469,52065.14617,488.9019901,0.86712265,0.96553468,5.189062338,3.97E-05,0.000118945,31754.95918,260857.2431
1,4.43E-05,35149.62759,46866.53504,471.0126698,0.793739319,0.958182108,8.825573256,4.30E-05,0.000189453,33186.38789,462283.0681
1,3.22E-05,36066.7059,59284.5862,701.100138,0.965431213,0.97532297,1.12679435,3.14E-05,3.57E-05,35127.973,41258.8505
1,3.02E-05,35602.4656,54919.8457,942.13961,0.939777374,0.956334676,1.22247091,2.89E-05,3.63E-05,33998.8615,44262.7138
1,3.14E-05,35478.8111,55258.4647,878.935602,0.943069458,0.957408909,1.1912615,3.01E-05,3.70E-05,33921.715,42479.9637
1,3.20E-05,35252.4835,54780.2763,971.938406,0.940319061,0.955203988,1.20113854,3.06E-05,3.79E-05,33624.8962,42584.5941
1,3.12E-05,35502.5777,55533.3168,948.773438,0.944664001,0.958667189,1.18550058,3.00E-05,3.65E-05,33970.6624,42393.8529
1,3.03E-05,36099.4961,54494.483,1017.64143,0.938137054,0.954036058,1.21124584,2.90E-05,3.62E-05,34371.2376,44077.2096
1,3.16E-05,34786.965,54233.6256,943.625355,0.936416626,0.952916331,1.22110193,3.02E-05,3.81E-05,33102.6813,42856.569
1,3.24E-05,34560.0433,54610.9937,868.042892,0.939044952,0.954508598,1.20691739,3.10E-05,3.87E-05,32935.4709,41969.7468
1,3.48E-05,32407.2961,59626.8589,754.084677,0.968578339,0.976361602,1.09983725,3.40E-05,3.82E-05,31627.7881,35708.5472
1,3.54E-05,31277.1131,59545.1618,804.108297,0.967983246,0.976051489,1.10227808,3.45E-05,3.90E-05,30530.1211,34461.2762
1,3.59E-05,31851.9234,59940.0684,767.497721,0.970298767,0.977681109,1.0941028,3.51E-05,3.92E-05,31138.531,34860.8641
1,4.00E-05,30589.6533,59885.8498,677.518533,0.969928741,0.97746336,1.09558018,3.91E-05,4.37E-05,29890.5464,33556.7726
1,3.32E-05,34065.1112,59616.0969,791.967894,0.968517303,0.976317566,1.10001334,3.24E-05,3.64E-05,33249.6288,37512.637
1,3.24E-05,34359.4406,59362.7144,801.100685,0.967033386,0.975274703,1.10527562,3.16E-05,3.56E-05,33495.8458,38038.5929
1,3.56E-05,34541.3289,46177.09312,455.678048,0.763027191,0.968595266,24.39330351,3.47E-05,0.000464212,33200.15835,1313877.506
